legacy	candidate	commit	creatordate	status
0.2.4.0	v0.73.1	5b88cd44ef4ab8d5b308dd84e21d73fa62b7b7b9	2022-10-14T05:44:12-03:00	ok
0.2.5.0	v0.73.2	f1e88bc50cafb6a8e9c0985177e888c457176151	2022-10-17T18:14:19-03:00	ok
0.2.6.1	v0.73.4	e7151800f16cbe0c8e88ed65ba0a2d407dc8eeb3	2022-10-22T15:22:28-03:00	ok
0.2.6.2	v0.73.5	700a13839e0ef278b6ee1795a0892b6c22066b4f	2022-10-22T20:49:55-03:00	ok
0.2.6.3	v0.73.6	2677b5a749a5145a0e35edc4bc64e47fc35a2c8b	2022-10-22T21:09:54-03:00	ok
0.2.6.4	v0.73.7	62b20044d2cf15300d49a5ca76e00cd149e1be04	2022-10-22T22:11:59-03:00	ok
0.2.6	v0.73.8	58332aa82037c203c3415454b758f033e04ef4c4	2022-10-23T14:55:27-03:00	ok
0.2.6.5		58332aa82037c203c3415454b758f033e04ef4c4	2022-10-23T14:55:27-03:00	alias
0.2.7	v0.73.9	d8786ee3c5ab7349b67e1802089a8ced94fea99c	2022-10-23T23:19:09-03:00	ok
0.2.7.1		d8786ee3c5ab7349b67e1802089a8ced94fea99c	2022-10-23T23:19:09-03:00	alias
0.2.8.0	v0.73.10	b14a03ab3518673bd1550c36b2b06f03ebd13c7a	2022-10-27T18:39:55-03:00	ok
0.2.8.1	v0.73.11	c8fd9ab477d7c9eb1ca2716a45406ec55a056f33	2022-11-08T12:25:19-03:00	ok
0.2.8.2	v0.73.12	ba3d824d30067c09214e18cee2e18510c2747f09	2022-11-08T14:12:37-03:00	ok
0.2.8	v0.73.13	c212422f209bdbb8ce769f094d7acbb56fe9b4df	2022-11-08T16:20:57-03:00	ok
0.2.8.3		c212422f209bdbb8ce769f094d7acbb56fe9b4df	2022-11-08T16:20:57-03:00	alias
0.2.9.0	v0.74.0	a6bc920cec9f60dc93209914329da62e0abc19f2	2022-11-17T18:28:51-03:00	ok
0.2.9	v0.74.1	eefa15dfa2d9a7f5ccb4eae63bd696a1dc949ab0	2022-12-10T21:25:14-03:00	ok
0.2.9.1		eefa15dfa2d9a7f5ccb4eae63bd696a1dc949ab0	2022-12-10T21:25:14-03:00	alias
0.2.10.0	v0.75.0	2cb3c870893f793bc8a9c9953cc77e7b4d36a6c9	2023-01-12T18:25:36-03:00	ok
0.2.10.1	v0.75.1	961f6d3eb32bc9cc091eedcf0ec565a54b7ea00c	2023-01-13T17:42:36-03:00	ok
0.2.10.2	v0.75.2	e013c96286b90cc05b7280eb6eed5e8b39c63f0a	2023-01-13T18:10:57-03:00	ok
0.2.10.3	v0.75.3	cddb2c97d9f078865bb81f9c49655549fb0053cc	2023-01-13T19:05:17-03:00	ok
0.2.10.4	v0.75.4	b73870de12c170927a9d6b5ec9db5962866908f7	2023-01-14T01:56:07-03:00	ok
0.2.10.5	v0.75.5	8b4b79482fca28c263abe5109994e5b58cb0d821	2023-01-15T13:55:12-03:00	ok
0.2.10	v0.75.6	b1dacaba19243a44453561a687f72310c2051ebf	2023-01-15T19:04:59-03:00	ok
0.2.10.6		b1dacaba19243a44453561a687f72310c2051ebf	2023-01-15T19:04:59-03:00	alias
0.2.11	v0.76.0	e025dddc826fdb1d50c976f414f1a3bedfb8e5b6	2023-02-10T12:04:00-03:00	ok
0.2.11.0		e025dddc826fdb1d50c976f414f1a3bedfb8e5b6	2023-02-10T12:04:00-03:00	alias
0.2.11.1	v0.76.1	791b8ce931e9cba5ef301d91940e264698a9d156	2023-02-16T01:45:04-03:00	ok
0.2.11.2	v0.76.2	577c4a1d26fd51969407aefb5c8abbd8ac0b1560	2023-02-17T00:16:00-03:00	ok
0.2.11.3	v0.76.3	3cbfd01708c39d165bb77988813c392cfc827e0b	2023-02-17T00:41:24-03:00	ok
